MONETARY ASSETS/LIABILITIES,NET FOREIGN ASSETS,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,Claims on nonresidents,Liabilities to nonresidents,NET DOMESTIC ASSETS,DOMESTIC CLAIMS,NET CLAIMS ON GOVERNMENT,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,Claims on central government,Liabilities to central government,CLAIMS ON OTHER SECTORS,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,Claims on other financial corporations/1,Central Bank, Of which: AMCON Bond ,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,Claims on state and local government,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,Claims on public nonfinancial corporations,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,Claims on private sector,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,BROAD MONEY LIABILITIES,Currency outside depository corporations,   Currency  in  Circulation,   Vault  cash: Commercial & Merchant Banks,   Vault cash:  Non-Interest Banks,   Vault cash:  Primary Mortgage Banks,   Vault cash:  Micro-Finance Banks,Transferable deposits,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,Other deposits,Central Bank,Of Which: Foreign Currency Deposit ,Commercial & Merchant Banks,Of Which: Foreign Currency Deposit ,Non-Interest Banks,Of Which: Foreign Currency Deposit ,Primary Mortgage Banks,Of Which: Foreign Currency Deposit ,Micro-Finance Banks,Of Which: Foreign Currency Deposit ,Securities other than shares,Central Bank,Commercial & Merchant Banks,Non-Interest Banks,Primary Mortgage Banks,Micro-Finance Banks,DEPOSITS EXCLUDED FROM BROAD MONEY,SECURITIES OTHER THAN SHARES EXCLUDED FROM BROAD MONEY,LOANS,FINANCIAL DERIVATIVES,INSURANCE TECHNICAL RESERVES,SHARES AND OTHER EQUITY,OTHER ITEMS (NET)
Mar-21,6725973.17,8140276.26,-1417724.66,21219.51,-2100.00,-15697.93,19193721.04,-12467747.86,31994406.29,43503924.95,12066876.87,9397014.26,2560160.64,83147.83,10591.73,15962.42,21231720.55,-9164843.68,31437048.08,9327817.90,21016602.41,124714.96,159382.83,808529.98,8194221.47,7111408.80,5267146.92,1066056.09,0.00,6626.34,10130.24,2108320.44,610299.39,1498021.05,0.00,0.00,0.00,849699.68,104347.11,745352.57,0.00,0.00,0.00,20284806.48,1501762.60,17707172.70,124714.96,152756.49,798399.74,38720379.46,2305664.20,2808734.33,-474707.66,-6238.10,-923.56,-21200.81,13832542.77,2056389.00,11505405.51,99632.21,57872.21,113243.84,22150005.84,778208.57,0.00,20676611.69,6566987.56,129453.02,12497.22,70178.96,0.00,495553.60,0.00,432166.65,432160.40,0.00,0.00,0.00,6.25,762800.20,189388.93,1179806.44,55652.90,0.00,5025441.69,4296428.49
Apr-21,6782878.02,7656301.20,-875790.46,21478.22,-2100.00,-17010.94,18978528.48,-12195650.46,32368575.56,44134011.03,12236471.93,9457046.14,2630748.13,80105.54,10328.62,58243.49,21540120.50,-9303648.57,31897539.10,9284737.10,21437011.30,129582.17,187760.21,858448.32,8139539.73,7110661.86,5267146.92,1009387.84,0.00,8709.92,10780.11,2116017.28,610299.39,1505717.89,0.00,0.00,0.00,853870.04,56201.73,797668.31,0.00,0.00,0.00,20788112.05,1507574.12,18124237.27,129582.17,179050.29,847668.21,39151453.58,2302191.18,2796471.37,-462317.12,-5270.66,-1082.71,-25609.69,13693741.25,2105090.63,11301260.12,102010.90,62965.80,122413.79,22467042.61,803588.42,0.00,20964958.42,6623350.41,128786.70,12179.66,78810.37,0.00,490898.70,0.00,688478.54,688472.54,0.00,0.00,0.00,6.00,705181.51,193836.74,1233538.45,47492.53,0.00,5540601.91,4044784.32
May-21,7356458.68,8304149.98,-950319.95,22582.93,-2100.00,-17854.28,19078490.04,-11722031.36,32500538.30,44669259.81,12552025.37,9221097.73,3221430.36,78890.79,11416.47,19190.02,22267603.97,-9715578.60,32117234.44,9382170.47,21629648.70,136333.42,202136.20,766945.65,8114678.02,7098031.77,5267146.92,1001498.97,0.00,9345.62,5801.66,2137309.91,610299.39,1527010.52,0.00,0.00,0.00,928339.49,63132.04,865207.45,0.00,0.00,0.00,20936907.02,1610707.27,18235931.76,136333.42,192790.58,761143.99,39856996.98,2316426.36,2790895.50,-453844.02,-7779.68,-744.37,-12101.08,13940215.36,2297118.62,11379168.69,111474.47,62933.00,89520.59,22436331.56,739553.44,0.00,21210083.05,6645920.88,128082.96,13130.83,76728.03,0.00,281884.08,0.00,1164023.70,1164009.39,0.00,0.00,0.00,14.31,738356.94,188872.06,1306135.23,37624.70,0.00,5398563.51,4499169.08
Jun-21,7292245.73,8064513.81,-766922.55,16588.07,-3400.00,-18533.60,18365652.67,-11073406.94,32218317.25,44219415.30,11593876.28,8875632.11,2611280.36,75825.89,11439.39,19698.54,21323188.14,-9729311.86,32625539.02,9458649.33,22017081.86,142554.71,197023.44,810229.68,8176373.22,7111916.26,5386993.71,1049141.80,0.00,9232.04,6083.12,2142319.91,610299.39,1532020.52,0.00,0.00,0.00,997024.59,45610.32,951414.27,0.00,0.00,0.00,21309821.29,1690823.35,18484505.27,142554.71,187791.40,804146.55,39510562.98,2248185.20,2741262.67,-471023.47,-8533.65,-1073.97,-12446.37,13776208.45,2021214.37,11478257.87,116169.83,66655.98,93910.40,22838659.57,898071.90,0.00,21469482.52,6991567.11,122260.58,11627.85,73518.68,0.00,275325.88,0.00,647509.76,647431.29,0.00,0.00,0.00,78.48,852450.53,188779.15,1298841.83,34161.21,0.00,5462741.91,4164123.41
Jul-21,7472444.74,7936340.57,-458920.83,18380.98,-3400.00,-19955.99,19287727.56,-11815282.82,32280443.88,44985309.22,12124677.18,9414979.24,2614409.46,67883.89,7962.57,19442.02,21695414.61,-9570737.43,32860632.04,9461758.95,22229102.71,145197.70,194063.06,830509.62,8014278.20,7114319.37,5407519.96,885425.49,0.00,8798.20,5735.14,2233586.55,610299.39,1623287.16,0.00,0.00,0.00,964241.48,45452.54,918788.94,0.00,0.00,0.00,21648525.81,1691687.65,18801601.12,145197.70,185264.86,824774.48,39752888.62,2369639.06,2812103.48,-423394.50,-7580.29,-1082.03,-10407.60,13891362.38,1985989.58,11664738.63,112125.69,55172.10,73336.38,23472555.28,756663.79,0.00,22253812.21,7112283.71,119463.86,13296.51,71101.96,0.00,271513.46,0.00,19331.91,19255.76,0.00,0.00,0.15,76.00,871636.52,187313.38,1206380.39,38672.32,0.00,5745199.98,4655662.73
Aug-21,8200646.92,8157751.77,45408.61,19527.28,-3400.00,-18640.74,19860561.50,-11659914.58,32744496.85,46009146.00,12567398.20,9146803.29,3322529.46,66425.51,10636.66,21003.27,22935148.57,-10367750.37,33441747.80,9644540.25,22571103.28,146398.32,198741.80,880964.15,8002616.79,7130148.09,5407519.96,859097.19,0.00,7217.58,6153.94,2264181.94,607876.53,1656305.41,0.00,0.00,0.00,1137742.80,61810.69,1075932.11,0.00,0.00,0.00,22037206.27,1844704.95,18979768.57,146398.32,191524.21,874810.21,40945143.77,2312069.53,2778706.01,-448364.32,-8296.71,-884.56,-9090.90,14114824.09,2034143.16,11814738.25,118967.30,59070.75,87904.63,24383199.21,1042849.12,0.00,22842648.02,7288993.39,123153.49,13751.05,73801.91,0.00,300746.67,0.00,135050.94,134920.42,0.00,0.00,0.00,130.52,792885.26,190403.31,1268558.95,32932.82,0.00,5867604.91,5112263.92
Sep-21,5807745.38,6584973.60,-778777.39,24885.99,-3400.00,-19936.81,21332464.93,-15524719.55,34642390.70,46941916.24,13005389.10,9351694.74,3545059.97,75802.78,10636.66,22194.94,24143749.73,-11138360.63,33936527.14,9710024.41,22939267.54,152413.41,215603.97,919217.81,8052876.04,7149456.66,5407519.96,888272.43,0.00,9360.16,5786.79,2310447.16,605513.09,1704779.44,154.63,0.00,0.00,1163179.81,69279.51,1093900.30,0.00,0.00,0.00,22410024.13,1885775.15,19252315.37,152258.78,206243.81,913431.02,40450136.09,2371567.68,2837063.77,-449552.01,-7053.69,-916.43,-7973.95,13589718.92,1638082.93,11670894.15,120496.25,66313.45,93932.14,24487916.19,903493.54,0.00,23061083.68,7214622.51,129347.84,17171.21,79643.26,0.00,314347.86,0.00,933.29,63.19,0.00,0.00,0.00,870.10,746355.17,190403.31,1454888.81,34148.22,0.00,5958868.94,3914861.09
Oct-21,7163901.28,7251168.09,-86998.10,25895.68,-3400.00,-22764.38,20321019.08,-13157117.79,34311349.23,47566565.62,12946605.35,9144184.53,3702371.23,65613.68,8293.62,26142.29,24981102.40,-12034497.04,34619960.27,9742490.47,23489162.22,168517.20,177467.33,1042323.05,8063912.91,7169066.34,5445179.43,881520.47,0.00,6791.41,6534.68,2434081.56,603070.00,1821553.67,9457.90,0.00,0.00,880509.19,71838.64,808670.55,0.00,0.00,0.00,23241456.60,1898515.49,19977417.53,159059.30,170675.92,1035788.36,41475250.51,2540822.90,2965985.43,-398053.55,-6011.89,-1171.72,-19925.37,13969627.71,2104359.85,11602102.09,131371.59,47983.81,83810.37,24963926.76,691018.13,0.00,23682832.59,7808126.95,138014.93,18641.22,63023.89,0.00,389037.22,0.00,873.14,0.00,0.00,0.00,0.00,873.14,761989.10,186953.73,1369974.52,43727.04,0.00,6229076.72,4663495.28
Nov-21,8436779.16,8266196.13,173676.58,23169.48,-3400.00,-22863.03,20468771.34,-12031992.18,34167435.78,48413289.10,13034104.65,8825578.86,4108522.16,62248.60,11396.45,26358.59,24733974.81,-11699870.16,35379184.45,10038322.05,23869680.94,189854.90,220086.19,1061240.37,8074406.88,7184928.75,5484959.59,874092.93,0.00,9085.32,6299.87,2471783.71,600616.72,1859778.70,11388.28,0.00,0.00,1160673.82,92927.18,1067746.64,0.00,0.00,0.00,23672320.05,2159849.40,20068062.67,178466.62,211000.86,1054940.50,42604214.93,2726065.10,3148591.61,-398531.22,-5187.61,-1617.27,-17190.41,14392820.00,2040644.08,12052330.26,132487.72,60298.91,107059.04,25481203.12,699120.04,0.00,24196941.31,7973609.81,143049.02,17010.81,81738.49,0.00,360354.27,0.00,4126.71,3245.80,0.00,0.00,0.00,880.91,781377.42,189368.54,1483982.62,33850.24,0.00,6385306.43,5371968.07
Dec-21,9352147.37,9022372.71,324946.97,31011.45,-3400.00,-22783.76,20788985.31,-11436837.94,35091827.38,48760641.75,13839910.40,9565735.62,4161919.14,78969.86,11396.45,21889.33,24499343.70,-10659433.29,34920731.34,9817879.31,24175682.86,185830.75,220086.19,521252.23,7888779.54,6861032.36,5158863.09,1012174.80,0.00,9085.32,6487.06,2495221.92,707435.73,1787786.19,0.00,0.00,0.00,800971.82,44945.60,756026.22,0.00,0.00,0.00,23735758.06,2204465.62,20619695.65,185830.75,211000.86,514765.17,44443974.75,2938416.18,3325157.97,-355308.15,-5725.99,-1617.27,-24090.39,15117444.65,2263408.85,12550977.51,151644.46,60298.91,91114.93,26387204.76,797912.43,779834.55,25062066.36,8520715.71,145428.65,20448.80,81738.49,0.00,300058.84,0.00,909.16,0.00,0.00,0.00,0.00,909.16,246316.97,227260.52,1487366.39,39914.84,0.00,6469978.96,5197976.70
Jan-22,8281477.25,7775579.95,497690.18,30915.19,-3400.00,-19308.08,20330078.08,-12048600.83,36014553.96,49294036.87,14109900.36,9869996.73,4127801.99,79760.26,9559.20,22782.18,25455942.33,-11346041.97,35184136.51,9989654.35,24265592.47,186440.71,220953.84,521495.14,7775755.62,6914130.73,5158863.09,846643.19,118.34,8486.68,6376.68,2637438.47,814313.99,1823124.48,0.00,0.00,0.00,1145292.76,44518.74,1100774.03,0.00,0.00,0.00,23625649.66,2216690.90,20495050.77,186322.37,212467.16,515118.46,44296031.21,2779750.75,3288027.60,-474723.41,-11258.99,-1800.17,-20494.27,15809941.47,2505478.97,12998707.02,151036.83,59929.74,94788.90,25705439.98,20965.66,0.00,25130964.26,8429848.69,164048.79,22680.42,79263.03,0.00,310198.25,0.00,899.01,0.00,0.00,0.00,0.00,899.01,371024.31,228574.63,1357501.72,41361.87,0.00,5354460.71,5926559.67
Feb-22,8458893.96,8037189.39,414221.50,30605.97,-3400.00,-19722.90,21566695.55,-13107801.59,36281370.93,50707660.59,14721135.97,10019413.07,4574998.32,94228.58,9276.08,23219.92,26757785.12,-12036649.16,35986524.62,10155196.04,24881946.51,198403.78,221577.23,529401.05,7771401.41,6914102.50,5158863.09,842082.05,165.30,8654.93,6396.64,2869760.04,921181.94,1948578.10,0.00,0.00,0.00,1083887.80,44517.63,1039370.17,0.00,0.00,0.00,24261475.37,2275393.97,21051916.20,198238.48,212922.31,523004.42,44740264.88,2723657.37,3250188.89,-483080.46,-12427.93,-1959.95,-29063.18,16173670.37,2611636.15,13241115.34,162805.03,60464.45,97649.40,25842010.17,21979.66,0.00,25252967.34,8538098.89,155897.75,21600.13,79564.37,0.00,331601.07,0.00,926.96,0.00,0.00,0.00,0.00,926.97,252573.55,228656.25,1490390.38,37301.48,0.00,5501905.10,6915462.90
Mar-22,7563610.81,7233595.23,320466.28,32755.04,-3400.00,-19805.74,20246786.45,-12683175.64,38932354.21,53618416.31,17151003.98,12053757.04,4955042.00,109384.41,9563.19,23257.34,27874366.27,-10723362.29,36467412.33,10341869.13,25088225.02,204898.32,207542.34,624877.51,7826926.60,6962633.04,5215953.12,847593.89,165.30,8932.60,7601.77,3002491.56,1028039.54,1974452.02,0.00,0.00,0.00,1181738.25,44517.48,1137220.76,0.00,0.00,0.00,24456255.92,2306679.07,21128958.34,204733.01,198609.75,617275.75,46495965.01,2714074.02,3245597.55,-480797.32,-11572.76,-1949.45,-37204.01,16896282.81,2522222.72,14035890.18,173191.09,57170.56,107808.27,26884685.14,853424.65,831136.05,25450906.98,8532590.89,161256.84,20702.23,79136.87,0.00,339959.80,0.00,923.04,0.00,0.00,0.00,0.00,923.04,239510.63,229995.42,1451971.33,38281.76,0.00,6041067.78,6685235.18
Apr-22,7516045.31,7277658.39,232940.41,29051.09,-3400.00,-20204.58,20193831.31,-12677786.00,39631533.34,54296180.59,16847655.48,11452772.61,5244451.28,118539.97,8875.69,23015.93,28892037.77,-12044382.28,37448525.11,10658243.41,25723543.32,211058.46,217085.74,638594.18,8165991.38,7154279.74,5215953.12,994899.39,412.90,8945.67,7453.68,3149836.38,1134886.75,2014949.63,0.00,0.00,0.00,1220330.90,44826.54,1175504.37,0.00,0.00,0.00,24912366.45,2324250.39,21538189.93,210645.56,208140.07,631140.50,47147578.65,2833752.73,3350615.22,-478499.99,-10516.23,-1906.44,-25939.84,16987575.24,2389259.63,14255629.66,170294.53,59030.49,113360.93,27325317.22,652412.07,629714.83,26069299.40,8961004.17,182222.41,21070.01,76982.67,0.00,344400.67,0.00,933.46,0.00,0.00,0.00,0.00,933.46,225362.16,229819.66,1477213.25,37301.45,0.00,6244050.52,6450900.21
May-22,7120303.91,7145639.72,-26441.35,27465.13,-3400.00,-22959.58,20390625.99,-13270322.08,41394191.39,56506223.69,18049373.09,12468589.19,5425929.29,123349.88,8486.73,23018.00,29938899.76,-11889526.67,38456850.60,10678804.36,26235262.68,212073.03,206609.59,1124100.94,8256344.18,7171493.25,5234983.13,1068246.90,412.90,8930.44,7260.69,3120165.22,1132371.50,1987793.72,0.00,0.00,0.00,1139059.82,44687.03,1094372.79,0.00,0.00,0.00,25941281.38,2330252.58,22084849.27,211660.13,197679.15,1116840.25,48514495.30,2763895.40,3330863.86,-523423.64,-33813.35,-1987.37,-7744.11,17797804.96,2609380.52,14841829.54,183886.82,56090.42,106617.65,27951806.09,753385.62,730988.23,26553907.96,9281137.86,212414.53,20893.44,78130.53,0.00,353967.45,0.00,988.85,0.00,0.00,0.00,0.00,988.85,748219.40,230832.34,1514966.67,40799.44,0.00,6310604.33,6266610.12
Jun-22,6109030.01,6181481.48,-69912.87,25515.32,-3400.00,-24653.92,20920484.33,-14811454.32,42789310.43,57448240.49,18214634.50,12590545.00,5472633.09,119794.59,8486.73,23175.09,30284084.23,-12069449.74,39233605.99,11065828.76,26646221.15,221978.99,207208.88,1092368.21,8118091.57,7248312.70,5254647.47,853248.44,412.90,8930.44,7187.10,3239993.56,1239197.79,2000795.77,0.00,0.00,0.00,1140322.06,44687.17,1095634.89,0.00,0.00,0.00,26735198.80,2533631.10,22696542.06,221566.09,198278.44,1085181.11,48898340.44,2719330.52,3255563.28,-513480.20,-13271.56,-1987.38,-7493.62,17628878.99,2864996.21,14422755.57,176797.31,57346.40,106983.50,28549237.06,1294890.22,1012364.35,26632649.79,9535400.88,188290.62,22550.55,78134.02,0.00,355272.41,0.00,893.87,0.00,0.00,0.00,0.00,893.87,838699.65,226783.55,1549231.28,47047.68,0.00,6387418.28,5609749.62
Jul-22,5205255.26,5770127.92,-563285.38,26406.40,-3400.00,-24593.68,21143577.02,-15938321.75,43085948.80,59959367.27,20106289.74,14177183.76,5779122.30,121287.31,6763.26,21933.11,32284420.55,-12178130.81,39853077.54,11119627.84,27227959.64,230935.38,198611.61,1075943.07,8289021.55,7302879.05,5273677.48,969449.88,412.90,8753.68,7526.04,3248668.78,1236661.54,2012007.24,0.00,0.00,0.00,1143218.67,44684.98,1098533.69,0.00,0.00,0.00,27172168.54,2535402.27,23147968.83,230522.48,189857.93,1068417.03,48291204.06,2721500.80,3242600.24,-499291.48,-12759.71,-1512.89,-7535.36,17664882.13,2900767.95,14433488.17,182706.90,38280.87,109638.23,27903910.41,1281438.25,956403.03,26005971.70,9266128.23,191563.20,24621.57,77598.37,0.00,347338.91,0.00,910.72,0.00,0.00,0.00,0.00,910.72,786632.84,227931.69,1859538.55,47898.10,0.00,7129704.71,6821712.59
Aug-22,4920998.48,5569760.68,-653236.60,33251.72,-3400.00,-25377.32,21080885.50,-16159887.02,44395793.53,61168905.59,20965137.37,15401840.75,5411623.45,123288.33,6237.22,22147.62,32556606.17,-11591468.81,40203768.22,11021262.46,27633396.07,237986.27,223733.23,1087390.19,8426721.98,7405965.51,5313006.17,1003608.06,412.90,8948.81,7786.69,3235955.85,1233936.59,2002019.26,0.00,0.00,0.00,1074062.62,44684.98,1029377.64,0.00,0.00,0.00,27467027.77,2336675.39,23598391.11,237573.36,214784.41,1079603.50,49316792.01,2680216.96,3210664.98,-508356.32,-13616.95,-919.55,-7555.20,18756099.18,3853054.20,14538632.53,198808.85,57139.33,108464.28,27879535.03,972773.90,868775.27,26259776.12,9247039.60,213114.86,26270.71,81945.57,0.00,351924.58,0.00,940.84,0.00,0.00,0.00,0.00,940.84,758453.34,227933.11,1808484.99,46733.41,0.00,7314548.93,6616958.26
Sep-22,4485157.31,5440633.17,-949007.45,24092.48,-3400.00,-27160.89,21130373.01,-16645215.70,44847925.20,63341597.62,22826317.44,16720901.83,5951764.90,124704.43,5809.70,23136.58,34205892.28,-11379574.84,40515280.18,11016571.08,27945867.40,244643.07,209233.05,1098965.58,8501160.55,7401511.48,5313006.17,1085303.60,562.90,6203.29,7579.27,3225747.91,1231379.16,1994368.75,0.00,0.00,0.00,1075433.98,44684.98,1030748.99,0.00,0.00,0.00,27712937.74,2338995.46,23835446.05,244080.17,203029.77,1091386.31,49333082.51,2729883.34,3228752.06,-479420.76,-11335.07,-1032.22,-7080.66,18467488.31,3544655.79,14561387.17,188880.38,55273.48,117291.51,28134464.72,991378.75,883166.70,26489279.19,9204000.50,214952.64,24188.46,81296.55,0.00,357557.58,0.00,1246.14,0.00,0.00,0.00,0.00,1246.14,747992.11,228323.74,1865927.39,56988.24,0.00,7786188.18,7808252.77
Oct-22,6168860.55,6591862.83,-416752.39,23658.30,-3400.00,-26508.18,21855181.61,-15686321.06,44461133.88,63481231.66,22645912.75,17089098.65,5400064.79,126785.77,5834.23,24129.31,33494056.46,-10848143.71,40835318.91,11059199.11,28186459.50,246722.07,207412.29,1135525.94,8577931.02,7443804.86,5351700.52,1116312.94,562.90,9020.42,8229.90,3227359.03,1230611.45,1996747.58,0.00,0.00,0.00,1056853.87,44684.99,1012168.89,0.00,0.00,0.00,27973174.98,2340097.81,24061230.10,246159.16,198391.87,1127296.05,50629994.44,2836803.01,3298786.78,-443293.76,-9212.88,-1123.22,-8353.92,18505965.45,3710901.89,14411233.18,202926.73,54707.26,126196.39,29285966.07,1022156.38,910101.51,27594478.08,9885760.97,212638.12,24807.02,79214.10,0.00,377479.39,0.00,1259.91,0.00,0.00,0.00,0.00,1259.91,754612.98,224856.97,1658798.91,55381.31,0.00,8211620.75,8114826.85
Nov-22,5603800.28,6167224.15,-556673.40,23497.52,-3400.00,-26847.99,22056737.98,-16452937.70,46082254.32,64166739.86,22636974.13,17050050.67,5432571.92,125894.72,6234.23,22222.60,33144090.15,-10507116.02,41529765.73,11176246.27,28781980.65,261686.09,226056.21,1083796.51,8727355.10,7559995.12,5375032.13,1144317.02,549.83,9020.42,13472.70,3254364.17,1229956.64,2024407.53,0.00,0.00,0.00,1100713.22,44684.99,1056028.23,0.00,0.00,0.00,28447333.24,2341609.52,24557227.87,261136.26,217035.79,1070323.81,51686054.60,2645857.33,3164256.76,-498284.56,-10874.10,-1264.20,-7976.56,18808043.35,3595968.93,14847399.83,229118.94,59247.93,76307.72,30230893.34,1000168.93,887871.45,28603253.12,9922710.68,217557.20,23852.95,82614.91,0.00,327299.19,0.00,1260.58,0.00,0.00,0.00,0.00,1260.58,739072.97,175218.95,1682457.53,56715.50,0.00,7750737.13,7680283.46
Dec-22,3843083.78,4994863.96,-1146724.24,26300.15,-3400.00,-27956.08,23225002.39,-19381918.61,48344189.21,66124705.79,23690866.81,17516300.77,6004155.62,141458.53,6372.61,22579.29,34296630.22,-10605763.41,42433838.98,11916430.76,29009301.95,268145.98,216658.64,1023301.65,9331470.06,8089029.76,5413726.49,1227039.06,549.83,9087.44,5763.97,3543895.14,1477066.29,2066828.85,0.00,0.00,0.00,3337091.57,2253318.65,1083772.93,0.00,0.00,0.00,26221382.20,97016.07,24631661.11,267596.15,207571.20,1017537.68,52187272.99,2569010.89,3012057.17,-427731.79,-8690.73,-911.45,-5712.31,18176981.88,3104311.13,14652172.60,251573.93,53410.98,115513.23,31047641.36,807620.15,659355.17,29601351.45,10279769.53,253029.31,25085.77,85335.44,0.00,300305.02,0.00,393638.86,392380.30,0.00,0.00,0.00,1258.56,818221.51,186182.87,1749231.74,73499.01,0.00,7617012.80,7336368.64
Jan-23,3591921.65,3929209.36,-336183.15,26162.26,-3400.00,-23866.81,22841343.06,-19249421.41,49515577.83,68007801.11,25237774.74,19067497.73,5994226.62,154973.18,5853.29,15223.91,35119167.36,-9881392.62,42770026.38,12489078.34,29454556.53,286486.14,228012.14,311893.22,9693918.53,8129641.83,5413726.49,1549897.25,543.67,8919.23,4916.55,3574817.80,1471746.89,2103070.91,0.00,0.00,0.00,3489007.47,2795163.31,693844.15,0.00,0.00,0.00,26012282.58,92526.31,25107744.22,285942.48,219092.91,306976.66,53107499.49,792184.39,1386398.50,-585319.10,-5910.36,-537.30,-2447.35,20107540.48,3165813.70,16552019.58,272307.12,59025.87,58374.22,31904051.78,709351.82,560181.00,30603854.58,10532058.55,284257.13,29220.33,83788.66,0.00,222799.58,0.00,303722.83,302470.64,0.00,0.00,0.00,1252.19,245279.52,186162.41,1593317.89,71942.98,0.00,7333681.63,9061838.86
Feb-23,4518981.31,4756746.53,-239045.64,26148.00,-3400.00,-21467.59,22360679.81,-17841698.51,48779766.62,70580064.51,26984399.03,19565815.23,7233852.42,159542.83,5654.70,19533.85,37557257.20,-10572858.18,43595665.49,12546168.90,29637427.69,297705.48,170307.09,944056.33,9693624.01,8123597.57,5411098.83,1556571.77,543.67,6348.29,6562.71,3633673.57,1466324.80,2167348.77,0.00,0.00,0.00,3908896.76,2863588.79,1045307.97,0.00,0.00,0.00,26359471.15,92657.74,24868199.17,297161.81,163958.80,937493.62,53298747.92,843201.72,982097.66,-132930.18,-3127.80,-280.82,-2557.15,20071453.76,3102017.64,16556382.69,306883.38,35069.80,71100.25,32010755.38,723724.78,565819.14,30636177.64,9801371.96,309588.47,28301.37,50834.05,0.00,290430.45,0.00,373337.07,372032.25,0.00,0.00,0.00,1304.82,661144.72,186705.33,1621165.49,80259.25,0.00,7524954.16,11726068.94
Mar-23,3016852.07,3613873.12,-583369.05,12317.25,-3400.00,-22569.25,21709034.52,-18692182.45,51611668.99,72575340.10,28309106.93,20997985.43,7109592.90,176316.51,5737.84,19474.25,38819208.10,-10510101.17,44266233.17,12670461.13,30226000.32,299074.54,181353.61,889343.56,9917953.63,8239194.11,5387767.22,1665721.76,529.65,6990.89,5517.22,3689448.73,1479902.43,2209546.30,0.00,0.00,0.00,3937411.05,2858699.20,1078711.85,0.00,0.00,0.00,26721419.75,92665.39,25272020.41,298544.89,174362.73,883826.34,54628521.06,1445249.67,1683498.35,-226782.65,-6393.73,-2325.40,-2746.89,19934108.39,3044788.28,16436053.13,297274.16,37636.79,118356.03,32806804.68,657926.79,486036.84,31518109.23,10578935.11,316067.73,27742.09,77131.10,0.00,237569.83,0.00,442358.31,441097.36,0.00,0.00,0.00,1260.95,892575.81,186640.56,1472415.28,73531.99,0.00,8095948.88,10242558.59
Apr-23,2004540.81,2008926.01,5473.65,14050.83,-3400.00,-20509.67,22007219.40,-20002678.59,54071207.60,76621201.63,31806536.64,24032159.63,7563069.79,186452.47,5394.69,19460.07,41079109.90,-9272573.25,44814664.99,12639328.45,31287541.94,313051.52,184603.79,390139.28,9785850.83,8244370.87,5387767.22,1531799.38,529.65,3994.23,5156.69,3731263.08,1489858.47,2241404.61,0.00,0.00,0.00,3478167.23,2812351.52,665815.70,0.00,0.00,0.00,27819383.85,92747.59,26848522.25,312521.87,180609.56,384982.59,56075748.41,2078211.57,2379074.15,-284105.78,-9506.52,-2753.87,-4496.41,20476838.27,3134605.90,16873791.32,305252.66,53052.96,110135.44,33123520.42,769811.32,610407.33,31651399.70,10988188.94,349749.36,29150.85,81851.18,0.00,270708.86,0.00,397178.15,395925.40,0.00,0.00,0.00,1252.75,301636.31,186100.41,1504166.62,936189.72,0.00,8042340.74,11579560.23
May-23,1399818.50,1190121.66,284893.79,23336.21,-3400.00,-95133.16,22747240.79,-21347422.30,54513878.42,77771655.47,31815036.42,24285356.84,7316345.34,186006.86,5394.84,21932.54,41554851.22,-9739814.81,45956619.05,13103417.35,31330003.64,333164.02,214346.31,975687.74,10127623.06,8528388.35,5387767.22,1584676.10,950.49,8490.93,5117.20,3745358.14,1493975.85,2251382.29,0.00,0.00,0.00,4091613.57,2988340.95,1103272.62,0.00,0.00,0.00,27992024.28,92712.20,26390672.63,332213.53,205855.38,970570.54,55913696.92,2177314.37,2526679.63,-326146.17,-11031.39,-2784.91,-9402.80,20317652.74,3065470.42,16764472.19,299213.80,58749.13,129747.20,33276386.84,851103.89,495898.66,31707967.85,10716219.17,329597.98,34487.26,87135.06,0.00,300582.06,0.00,142342.96,141080.15,0.00,0.00,0.00,1262.82,739894.15,164462.31,1798323.15,986665.47,0.00,8474839.48,11093592.50
