month,TIME AND SAVINGS DEPOSITS,FOREIGN CURRENCY DEPOSITS,   Domiciliary Accounts,   Federal Government Foreign Currency Deposit,   State Government Foreign Currency Deposit,   Local Government Foreign Currency Deposit,oldm2
,7068635.77,2145800.41,2145800.41,0.00,0.00,0.00,13603139.30
,6883664.88,2068056.64,2068056.64,0.00,0.00,0.00,13483059.40
,6988638.82,2133868.51,2133868.51,0.00,0.00,0.00,13392426.40
,7525703.89,2505309.32,2505309.32,0.00,0.00,0.00,13770062.30
,7672812.26,2581340.44,2581340.44,0.00,0.00,0.00,14065267.10
,7857199.14,2682111.22,2682111.22,0.00,0.00,0.00,14399299.20
,8182085.68,2773922.75,2773922.75,0.00,0.00,0.00,15062730.00
,8062901.35,2726978.59,2726978.59,0.00,0.00,0.00,15483847.50
,8229646.86,2791442.00,2791442.00,0.00,0.00,0.00,15308392.80
,8633225.34,2934331.82,2934331.82,0.00,0.00,0.00,15547624.70
,8730636.66,2929457.78,2929457.78,0.00,0.00,0.00,15669169.20
,8831956.51,3025467.08,3025467.08,0.00,0.00,0.00,15634382.10
,8679498.09,2950442.71,2950442.71,0.00,0.00,0.00,15424052.60
,8652868.49,2982266.84,2982266.84,0.00,0.00,0.00,15593172.50
,8281359.75,3025771.95,3025771.95,0.00,0.00,0.00,14811429.80
,8343658.55,3357685.17,3357685.17,0.00,0.00,0.00,14619449.20
,8062896.61,3319273.50,3319273.50,0.00,0.00,0.00,14362451.10
,8044976.58,3252879.36,3252879.36,0.00,0.00,0.00,14529508.00
,8331375.82,3255993.31,3255993.31,0.00,0.00,0.00,14734882.80
,8620076.50,3402555.62,3402555.62,0.00,0.00,0.00,15688963.60
,8662420.15,3455087.37,3455087.37,0.00,0.00,0.00,15493689.50
,8629006.22,3343987.31,3343987.31,0.00,0.00,0.00,15424175.20
,10033887.11,3430948.14,3039595.32,368832.39,22470.90,49.52,17732918.60
,10172444.27,3381458.58,3043849.08,316260.07,21344.79,4.64,17886647.80
,10222345.57,3418758.13,3086815.68,318300.48,13638.39,3.58,17622558.40
,10430580.08,3548275.46,3191195.23,338139.62,18936.44,4.18,17576640.30
,10835939.46,3703142.91,3348724.03,339811.99,14431.19,175.69,18102242.80
,10775896.30,3579609.45,3249625.06,315813.51,14168.48,2.40,17898902.50
,10803769.43,3902393.71,3509628.09,378798.01,13965.77,1.85,18200156.70
,11186383.91,4110689.16,3726212.66,357906.78,26567.81,1.91,18496197.90
,11625866.41,4458161.30,3935252.58,474002.35,48725.68,180.69,18804279.90
,11936928.83,4456131.35,3961878.32,470119.46,23952.90,180.68,18913029.00
,11793947.42,4549826.12,4068867.37,437686.27,43081.67,190.82,18965533.50
,12056205.97,4940756.45,4336176.09,565686.48,38691.33,202.56,18865922.30
,12091508.90,4845983.85,4249368.02,570476.77,25649.47,489.59,19132363.30
,12373820.26,4954234.59,4419453.56,510415.68,24027.75,337.60,19608078.90
,12473949.38,4804956.54,4237280.59,511271.38,55915.75,488.83,19196565.10
,12222870.58,4636716.57,4133130.14,479148.96,24162.32,275.15,18811429.40
,11895730.46,4443714.56,4036083.45,378666.69,28716.63,247.79,18424703.10
,11463386.70,4247437.59,3827493.87,391219.27,28404.82,319.64,18491572.00
,11488222.41,4165420.85,3761223.25,374805.40,29140.99,251.21,18718003.10
,11432341.86,4043509.85,3737198.12,280043.59,25558.26,709.88,18204395.80
,11326656.55,4021916.65,3596968.93,399814.91,24906.95,225.86,18367238.50
,11403218.27,3784164.41,3393683.18,366100.59,24225.65,155.00,20029831.10
,11380144.45,3750691.01,3326514.48,400560.30,23462.82,153.41,1873470.40
,11370630.52,3791660.38,3347406.71,416424.60,27696.78,132.30,1903091.40
,11256624.80,3674021.68,3371292.37,282196.77,20368.50,164.04,1939268.60
,11418762.39,3562941.52,3281624.84,257084.78,24060.97,170.93,2074302.30
,11150607.35,3412625.00,3168371.15,223876.73,20360.85,16.26,2013574.90
,12383370.37,4760486.47,4375954.36,352042.18,32269.98,219.94,1935548.70
,12782016.72,5304122.60,4822271.14,443433.26,38201.14,217.07,2083869.10
,12337975.83,5062967.73,4615241.42,409343.32,38134.45,248.55,3697284.20
,12010353.24,4783627.54,4314408.28,429016.04,39964.38,238.85,3987679.50
,12076006.88,4790738.92,4352513.97,391359.70,46608.06,257.20,4226547.70
,11775129.18,4491963.57,4095647.72,363568.41,32530.35,217.09,4685723.00
,12146914.35,4571018.96,4160613.67,373051.87,37156.62,196.80,4910154.80
